,AI研究人员数量,顶尖AI学者数量,AI毕业生数量,AI企业数量,AI市场规模,AI应用渗透率,大模型数量,AI社会信任度,AI政策数量,AI补贴金额,企业研发支出,政府AI投资,5G覆盖率,GPU集群规模,互联网带宽,互联网普及率,电能生产,AI算力平台,数据中心数量,TOP500上榜数,AI_Book数量,AI_Dataset数量,GitHub项目数,国际AI投资
AI研究人员数量,0.9999999999999999,0.9000067129027419,0.5886374930802991,0.8002013341383026,0.8886534910064975,-0.29235349750572764,0.6356348264858157,0.189735267117028,0.9188377728158118,0.8081580264828186,0.9614644045988604,0.7719179699948543,0.011761472900213189,0.5862514768018473,0.5358856379805529,-0.36679332128631587,0.8516237616611153,0.40977555422895673,0.1718468469479974,0.8794220443969863,0.5748939735328592,0.6536099690326658,0.39264374691688214,0.7950333192943778
顶尖AI学者数量,0.9000067129027419,0.9999999999999998,0.18579765040100565,0.6491574911263577,0.9987452911008442,-0.5739424582828673,0.322086266119942,-0.12781872131595184,0.9968422584978328,0.6137083732542373,0.9246384521842727,0.573491172914727,-0.0002864691537473972,0.7934457882191842,0.7678309920642109,-0.025673621633427724,0.5810496498762305,0.4539075000912266,0.3391172045755897,0.9659697960981065,0.21849166586014337,0.7302051105610193,0.2703431595775939,0.9712922774356684
AI毕业生数量,0.588637493080299,0.18579765040100565,1.0,0.6284503307010005,0.16690351501684025,0.4094103986226868,0.7413483161541337,0.6398804820427904,0.22667595852958672,0.6120229174435906,0.420306901876212,0.6024767142867083,0.08011361239988186,-0.1071067178707777,-0.16563318224517157,-0.8725771052660728,0.7861095142538809,0.008813887833437433,-0.3178776616416669,0.1809985662155414,0.8788160506766112,0.11530428210411367,0.5331462870372472,0.029496512849585176
AI企业数量,0.8002013341383026,0.6491574911263577,0.6284503307010005,1.0,0.6477717010444645,-0.29011921001017266,0.4494871857666496,0.1292271872130439,0.6807085790326068,0.5117833379253777,0.6841811331962003,0.4480589395123443,-0.16940919051663855,0.2904639381080179,0.2564776459243043,-0.5250275054082507,0.6598211502990362,0.21796900484822537,-0.17282218533750862,0.5774985249024301,0.4938994739272557,0.5597511651094381,0.5974715096265595,0.5778334288158732
AI市场规模,0.8886534910064974,0.9987452911008443,0.16690351501684025,0.6477717010444645,1.0,-0.5873200415683785,0.28958817602948106,-0.14420433569598418,0.9943106254672573,0.5875997671977734,0.9130421986793522,0.5461514517012438,0.021011309119364503,0.8022828509296651,0.7792767876871448,-0.02018517950321757,0.5547249507071677,0.4455355354305806,0.32280258450346877,0.9635618996104954,0.20741508270477194,0.7320749503491492,0.28357650464317896,0.9784635658528231
AI应用渗透率,-0.29235349750572764,-0.5739424582828674,0.4094103986226868,-0.29011921001017266,-0.5873200415683784,1.0,0.2643390354356402,0.7667482867996924,-0.5505762236446888,0.12420032386492898,-0.3839553030578218,0.16385725141787952,0.21188431383319756,-0.3047026085530316,-0.3292763171394522,-0.38841154079047935,0.06445423135994119,0.01252971394687876,-0.15250669197987898,-0.5835914213668195,0.27687877339449385,-0.5379058619349883,-0.025759648435674132,-0.6557145290119787
大模型数量,0.6356348264858157,0.322086266119942,0.7413483161541337,0.44948718576664964,0.28958817602948106,0.26433903543564014,1.0,0.6179250774773573,0.37869130847488625,0.910798455413562,0.6436518537046043,0.9138201933257734,-0.1108797060741656,-0.0013317893600650432,-0.08137828221993158,-0.32544875683837415,0.9382467090378044,0.4052059028690388,0.16885248032406427,0.3809529248727918,0.7516572107732706,0.26850284067852076,-0.10367442271102686,0.09242394203223703
AI社会信任度,0.18973526711702798,-0.12781872131595184,0.6398804820427905,0.1292271872130439,-0.1442043356959842,0.7667482867996923,0.6179250774773574,1.0,-0.0849242347974589,0.5558909700399561,0.10354106782563272,0.5698772673900776,0.21489461112697517,-0.005807067045708518,-0.05862802658033311,-0.443026052597122,0.4875117201842799,0.44899260731856216,-0.020744641588127357,-0.17644954333868199,0.5388901611870971,-0.2211569442791176,0.034161055711775946,-0.27278549795350493
AI政策数量,0.9188377728158118,0.9968422584978328,0.22667595852958672,0.680708579032607,0.9943106254672573,-0.5505762236446887,0.37869130847488625,-0.0849242347974589,1.0,0.6569489588581119,0.943090170296814,0.6176748767748613,-0.02903227247143389,0.7721165337660879,0.7420025827445971,-0.040478824401724865,0.6250548579877224,0.4762992082385938,0.3413913296742662,0.9614469813200486,0.2519804405457905,0.7559580145768773,0.25509053554277156,0.9534171386083593
AI补贴金额,0.8081580264828189,0.6137083732542373,0.6120229174435906,0.5117833379253777,0.5875997671977734,0.12420032386492899,0.910798455413562,0.5558909700399561,0.6569489588581119,1.0,0.8364281500532404,0.9933437819895952,-0.02216630117343371,0.4060567188625337,0.3317343146419794,-0.20343137968730038,0.9357433357371199,0.6297700805161945,0.3672538229752596,0.6323679268411401,0.6180204824169399,0.43557269227193723,-0.05585235621878697,0.4218437153564619
