,Importance,Normalized,Contribution_%
AI毕业生数量,0.05077472820615113,0.055564451175042696,100.0
AI研究人员数量,0.048074871888905295,0.052609909815211985,94.68267696818758
企业研发支出,0.04684250767665354,0.051261293219500945,92.25555572935352
AI算力平台,0.045658866966796614,0.049965996351251624,89.92439463470186
互联网带宽,0.04015395356350902,0.0439417889782862,79.08255737082321
AI企业数量,0.04007046655474,0.04385042640508517,78.91813106719032
AI补贴金额,0.03953775081251607,0.04326745808807521,77.86895609167682
GPU集群规模,0.03931492835507983,0.04302361616130702,77.4301108918925
AI社会信任度,0.03912159650649623,0.04281204677549782,77.04934696579396
AI_Dataset数量,0.03857539932111587,0.04221432527286778,75.97362050761826
AI政策数量,0.03840935956295899,0.0420326225171629,75.64660790898309
政府AI投资,0.0375221171040883,0.04106168398084646,73.89919834084444
顶尖AI学者数量,0.03723261255553838,0.04074486965369648,73.32902384897024
AI市场规模,0.0367611747348516,0.040228959776970726,72.40053474160823
大模型数量,0.03639386551162255,0.039827001241271844,71.67712521051682
互联网普及率,0.036330136374351715,0.039757260355177175,71.5516117129121
国际AI投资,0.03626157438192803,0.03968223071710561,71.41657998581881
电能生产,0.03626156078773746,0.03968221584053679,71.41655321228195
5G覆盖率,0.03544279060636682,0.03878620876430713,69.80399867915608
GitHub项目数,0.034493721214751805,0.037747610986727465,67.93482197423766
数据中心数量,0.033108010365043,0.03623118213379972,65.2056870311954
TOP500上榜数,0.03244340520677308,0.03550388290105076,63.89675799947011
AI_Book数量,0.03104967344719196,0.03397867650325522,61.15182600510786
AI应用渗透率,0.023963717491855982,0.026224282385965376,47.19615119269685
