,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AI研究人员数量,0.3124124517177281,0.05742549811415014,-0.08642867098880937,-0.004862214260377565,0.0330178495371604,-0.0017137499206667083,0.03227664463870955,-0.11264972652439924,-0.12468453694168626,-0.13948496621347523
顶尖AI学者数量,0.2613154234323632,-0.13047987258157054,-0.08726307535684505,0.01771028619830671,0.038208024351624965,0.010362108782692413,-0.055031977161701176,-0.12201781227786564,-0.12129346537533743,-0.21369782431794973
AI毕业生数量,0.15571387360069663,0.4156225150955268,-0.08419206511727194,0.0383185887385749,-0.06408667339972027,-0.09302321731132135,0.17949858397202195,-0.02983975720490049,-0.02393758180490434,0.37523844086601577
AI企业数量,0.23983162175617564,0.12102649085598056,-0.26251983422056735,-0.0622316099393764,-0.29364463764183135,0.4555883252130277,0.28663656745321514,0.2751434667633545,0.4348269893079029,-0.06951037018326613
AI市场规模,0.25662570485696057,-0.13687904541502782,-0.09697299397384387,0.032941348507953015,0.03971357999975481,0.021256695346889936,-0.08173137770696709,-0.070669152772565,-0.08631290295626198,-0.42521167261046133
AI应用渗透率,-0.07598043824685365,0.24553262536146103,0.20813791936359338,0.15826844886384575,-0.20176704741249252,-0.28566488780067334,-0.15624102675914203,-0.1757889227745201,0.6029896754165035,-0.0486046633067845
大模型数量,0.1730107213636213,0.24527114147131618,0.19235239728819212,-0.21610107252096875,0.11410774768847046,-0.014476025427219824,0.050028408193281096,-0.022032721443687467,-0.014797565318041774,-0.28984253431505275
AI社会信任度,0.06000787406161942,0.31794049956941245,0.30490703739760183,0.1775752010938404,-0.3128323458340551,0.025599743083453995,-0.2969469707983288,0.13992470913589256,-0.49292039698101986,0.03521683834538303
AI政策数量,0.27042735230071596,-0.11463516556893541,-0.07591661642901776,-0.00973945428650881,0.01760033521203116,0.01705587387521357,-0.05419156252347193,-0.0539792006294533,-0.08350415450376107,0.49230351259045213
AI补贴金额,0.24369626584588627,0.1375432024101919,0.21724714722630034,-0.10087267419063979,0.026286840431050385,-0.06964350267063837,-0.08918631158805553,-0.10670937477832276,0.14986116893572343,0.059060988591195386
企业研发支出,0.312434135020274,-0.013839195599593082,0.005545667880055558,-0.07233750472555762,0.18436923599486113,0.05112263718728214,-0.016146883833628202,-0.05330049541973118,0.045661235381020064,-0.11402191765171851
政府AI投资,0.22995100958213435,0.13686097112463533,0.23563786582052318,-0.10125574020070326,0.03787967656400334,-0.1891393767671402,-0.03954562237170378,-0.045425176208006166,0.06682308080507447,0.03841431784541031
5G覆盖率,0.008483066924646322,0.0362445288992951,0.08439326083401306,0.6359678401377596,0.501822200464087,-0.018276497835460575,0.10067446110096336,0.46457394953988923,0.10054282966726501,-0.0409561607395533
GPU集群规模,0.20382946647659272,-0.22486473083960729,0.0694563248358624,0.30314438991972725,-0.18970515878670252,-0.13709957127994002,-0.1380898145506471,-0.11364465826583522,0.12662746296394847,0.11793337425378261
互联网带宽,0.19128406909995255,-0.24825173060896025,0.05119258332637718,0.3228192179303805,-0.1993495128887978,-0.13594281112393058,-0.1428817818267115,-0.11204592716473341,0.12633761296892182,-0.1781590112078666
互联网普及率,-0.060599513424207635,-0.32484648825684326,0.24188862866287572,-0.20216138237578335,0.1415723158152437,0.19768489017225485,-0.24749968382983217,0.06377460807835326,0.17256339715045704,0.315696186984603
电能生产,0.229476984184858,0.204094103554948,0.0765910361279524,-0.12230214010483043,0.13171402762928433,0.01811517533779196,0.12683611767619787,-0.08504528938811087,0.028711854133074824,-0.0005708969244190334
AI算力平台,0.18753962965374124,-0.09322590395353084,0.4402301588549103,0.11865628620298306,-0.27223673626375094,0.5000831857991195,0.04476786220476093,0.18504586020055516,-0.051508300617784844,0.0390539794403207
数据中心数量,0.09737100404243271,-0.2191854330166284,0.36624024981607756,-0.03365504860123165,-0.006627153727926543,-0.33502526938622984,0.7048133933263676,0.03907936506303552,-0.10885313513882111,0.0628581445811016
TOP500上榜数,0.24723534777113337,-0.11286599969996808,-0.06658662295876613,-0.010558592061393894,0.26810989485132675,0.04752104959145279,-0.0688319641612335,-0.1568593315519946,0.11954262057343008,0.26521045232432783
AI_Book数量,0.13041759603653677,0.3197391729144297,-0.04631064582704688,0.03156173021821538,0.34295019013303013,0.06686553258507587,-0.2292107324432006,0.11273202868216325,-0.006705482622668887,0.056737302897662524
AI_Dataset数量,0.22132218421871075,-0.1305094694061995,-0.165060300766591,-0.30610098581763345,-0.17924285962797834,-0.45090287914306587,-0.2108290186596311,0.6905522735310321,0.0298430965614001,0.011744953176729309
GitHub项目数,0.07199119883979258,0.12485071241197845,-0.3977482598364411,0.2977103324386092,-0.2375005208576134,-0.08749254356925658,0.13721539381759193,-0.08891433010162389,-0.1168467941619239,0.16555581736395472
国际AI投资,0.22951982486320274,-0.1898098840394398,-0.13710153131724176,0.09570582644205235,0.019549003699648335,0.013607058413430134,-0.02794730035339097,-0.10105987274072421,-0.11742336103979481,0.08323599612997978
