,AI研究人员数量,顶尖AI学者数量,AI毕业生数量,AI企业数量,AI市场规模,AI应用渗透率,大模型数量,AI社会信任度,AI政策数量,AI补贴金额,企业研发支出,政府AI投资,5G覆盖率,GPU集群规模,互联网带宽,互联网普及率,电能生产,AI算力平台,数据中心数量,TOP500上榜数,AI_Book数量,AI_Dataset数量,GitHub项目数,国际AI投资
AI研究人员数量,1.0,0.8823427036457958,0.5709685456926329,0.7210575394952075,0.9502487610427175,0.10660187332193544,0.6944250408123283,0.2791028829330466,0.9358991034301386,-0.07336821164830812,0.9627204768475273,0.7910621291120972,0.02811465909974795,0.7126442344618326,0.8268635210950556,-0.27379490796485445,0.821346339104829,0.8005661085180261,0.9486372045911858,0.3184731083540097,0.9136957330501907,0.5562658823952786,0.37065571500424843,0.9496204791807259
顶尖AI学者数量,0.8823427036457959,1.0,0.1358724229939059,0.7016703924083675,0.9739327279062311,-0.2252187203571328,0.3435403157138445,-0.0843980005943177,0.9846718147450059,-0.0647913568798177,0.9025605487087762,0.5255228488299704,0.20881656393413928,0.9187035707893282,0.8197164668333712,0.06338627485668756,0.48903299107500203,0.5264483615208005,0.9614347983518761,-0.04776959852691487,0.7811901977258704,0.678277188303425,0.26694139754676155,0.9364527243120425
AI毕业生数量,0.5709685456926329,0.1358724229939059,1.0,0.21333196862734297,0.29041218636615845,0.6462319258761039,0.7411620936382153,0.7247455461789228,0.24652426483678566,-0.07003895042619585,0.4069751690016613,0.6491113092742378,-0.5050246039414161,-0.047136372581290796,0.23145119498684016,-0.8302840801594242,0.7977022569106973,0.65400419095906,0.2995498739716232,0.5862097544717917,0.5192672277113382,-0.02666351683283258,0.5345300161422013,0.3292225450998966
AI企业数量,0.7210575394952075,0.7016703924083675,0.213331968627343,1.0,0.7564622709975999,0.1524407414588313,0.5631874390301502,0.31135681923486624,0.7508552603674824,-0.10884969987833737,0.7975065626552552,0.6498944172741676,0.5106884906276714,0.6404463455183639,0.636316157672632,0.15795706012478822,0.6338177575678386,0.6558779720058533,0.7273970098825222,0.2529559752171365,0.5785775095728434,0.20606176564154838,-0.07212319312067161,0.7962022447791993
AI市场规模,0.9502487610427175,0.9739327279062311,0.2904121863661585,0.7564622709975999,1.0,-0.12357128356220394,0.5429286408608193,0.039556470194533185,0.9975824315868032,-0.04311405038267014,0.9737109307561689,0.6933889280502292,0.23057188476932955,0.8500781339941923,0.8862891153845759,0.005185084951608158,0.6645810389564338,0.7011993565888347,0.993943861890911,0.16866280866618397,0.8662932226986013,0.6635292934500803,0.21275795544068704,0.9858169198298976
AI应用渗透率,0.10660187332193544,-0.22521872035713278,0.6462319258761038,0.1524407414588313,-0.12357128356220393,1.0,0.3622930918236821,0.8495045518932257,-0.14572187192019706,-0.19087089437415664,-0.06405496439955048,0.25933659173230134,-0.47408492116019196,-0.24355177328723004,-0.2801129753137066,-0.5551484858491729,0.3548634233490992,0.21917143437537165,-0.141060502224148,0.19967761049071542,-0.05307909738136068,-0.5739355618717839,0.34264932680926585,-0.022064169559034227
大模型数量,0.6944250408123283,0.3435403157138446,0.7411620936382154,0.5631874390301502,0.5429286408608192,0.3622930918236821,1.0,0.5376760166117968,0.4965428420125578,0.11558421857753895,0.6964272571797668,0.9548151433046399,0.15146706951526337,0.13613286556230736,0.5881827478765013,-0.2681409848199182,0.9717403130026542,0.9729726644348103,0.5644000868933406,0.8570276699009526,0.7193256879646076,0.1995088682820374,-0.06841544244489181,0.6160385117097318
AI社会信任度,0.27910288293304664,-0.08439800059431768,0.7247455461789228,0.31135681923486624,0.039556470194533185,0.8495045518932257,0.5376760166117968,1.0,0.009531973303914646,-0.2867745073144743,0.13864921562198043,0.38406809361139727,-0.26932977833559196,-0.24515494324491297,0.0036445623806716965,-0.5851561290279602,0.5426551208904855,0.40633342600304906,0.06287923115783291,0.4392765236508052,0.22291354391655238,-0.23625670215569425,0.3053850983286942,0.13081148551483726
AI政策数量,0.9358991034301386,0.984671814745006,0.2465242648367857,0.7508552603674823,0.9975824315868033,-0.14572187192019703,0.4965428420125578,0.009531973303914648,1.0,-0.04582584517520284,0.9594120642406887,0.6533651494408874,0.23352580045504004,0.867551727992665,0.8720113652565704,0.02725161226513163,0.6229869048781627,0.6594215356172066,0.9902373840950639,0.11319681277065845,0.84890576362847,0.6620803329832883,0.21780355237845048,0.9808800314546847
AI补贴金额,-0.07336821164830812,-0.0647913568798177,-0.07003895042619585,-0.10884969987833737,-0.04311405038267015,-0.19087089437415664,0.11558421857753894,-0.2867745073144743,-0.04582584517520285,1.0,-0.025354663462616115,0.23265331437317183,0.08958937806443688,0.11854870843365636,-0.12586594422085307,0.09023262273031431,0.03447598029143566,0.13372567035629349,-0.05442651242927728,0.07674823592015502,-0.18323273244375626,-0.02975446227706601,-0.30494976540306046,-0.06443091772558945
