,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AI研究人员数量,0.312412451717728,0.057425498114150035,-0.08642867098880937,-0.00486221426037734,0.03301784953716047,-0.001713749920666574,0.03227664463870956,-0.11264972652439914,-0.1246845369416862,0.2417559586321154
顶尖AI学者数量,0.26131542343236314,-0.13047987258157062,-0.08726307535684497,0.01771028619830685,0.03820802435162502,0.010362108782692371,-0.05503197716170115,-0.1220178122778655,-0.12129346537533739,-0.005176277750430904
AI毕业生数量,0.1557138736006967,0.41562251509552667,-0.08419206511727209,0.03831858873857495,-0.06408667339972013,-0.09302321731132121,0.17949858397202195,-0.02983975720490079,-0.02393758180490431,-0.43930122682167233
AI企业数量,0.2398316217561757,0.1210264908559805,-0.2625198342205675,-0.06223160993937664,-0.2936446376418317,0.4555883252130271,0.28663656745321436,0.27514346676335427,0.4348269893079027,0.021616196442009194
AI市场规模,0.25662570485696046,-0.13687904541502782,-0.09697299397384389,0.03294134850795316,0.03971357999975488,0.02125669534688981,-0.08173137770696687,-0.07066915277256479,-0.08631290295626219,0.16441533080498694
AI应用渗透率,-0.07598043824685358,0.24553262536146134,0.2081379193635932,0.15826844886384564,-0.20176704741249238,-0.2856648878006729,-0.15624102675914173,-0.17578892277452016,0.6029896754165035,0.034032800559641065
大模型数量,0.17301072136362136,0.24527114147131626,0.19235239728819212,-0.2161010725209687,0.11410774768847047,-0.014476025427219616,0.05002840819328108,-0.022032721443687526,-0.01479756531804162,0.44848000586527653
AI社会信任度,0.0600078740616195,0.31794049956941256,0.30490703739760183,0.17757520109384026,-0.31283234583405484,0.02559974308345302,-0.29694697079832866,0.1399247091358927,-0.49292039698102025,-0.075655870725288
AI政策数量,0.27042735230071596,-0.11463516556893558,-0.07591661642901751,-0.009739454286508907,0.01760033521203134,0.0170558738752136,-0.05419156252347201,-0.05397920062945318,-0.08350415450376107,-0.012094502146987603
AI补贴金额,0.24369626584588633,0.1375432024101921,0.2172471472263003,-0.10087267419063982,0.026286840431050444,-0.06964350267063815,-0.0891863115880554,-0.10670937477832268,0.14986116893572338,-0.06818980826620903
企业研发支出,0.312434135020274,-0.013839195599593056,0.00554566788005562,-0.07233750472555747,0.18436923599486107,0.05112263718728237,-0.0161468838336282,-0.05330049541973108,0.04566123538102022,0.14086953187183004
政府AI投资,0.2299510095821344,0.13686097112463555,0.23563786582052318,-0.10125574020070333,0.03787967656400346,-0.1891393767671399,-0.03954562237170354,-0.04542517620800627,0.06682308080507456,-0.1326424417853509
5G覆盖率,0.008483066924646326,0.03624452889929503,0.08439326083401326,0.6359678401377599,0.5018222004640863,-0.018276497835460176,0.10067446110096342,0.46457394953988906,0.10054282966726555,0.10180200297327667
GPU集群规模,0.20382946647659267,-0.22486473083960729,0.06945632483586257,0.3031443899197272,-0.1897051587867025,-0.13709957127993994,-0.13808981455064692,-0.11364465826583527,0.12662746296394828,-0.10611855045804354
互联网带宽,0.1912840690999525,-0.24825173060896025,0.05119258332637734,0.3228192179303805,-0.1993495128887978,-0.13594281112393053,-0.14288178182671127,-0.11204592716473344,0.12633761296892163,0.24449101580557928
互联网普及率,-0.060599513424207704,-0.324846488256843,0.24188862866287578,-0.20216138237578343,0.1415723158152435,0.1976848901722545,-0.24749968382983212,0.06377460807835357,0.1725633971504571,-0.3781639712709544
电能生产,0.22947698418485804,0.20409410355494806,0.07659103612795233,-0.12230214010483031,0.1317140276292843,0.01811517533779231,0.1268361176761978,-0.08504528938811085,0.028711854133075025,0.07572195215425619
AI算力平台,0.18753962965374127,-0.09322590395353056,0.44023015885491046,0.11865628620298277,-0.27223673626375156,0.5000831857991186,0.04476786220476044,0.1850458602005554,-0.05150830061778521,-0.04593037076601682
数据中心数量,0.09737100404243271,-0.21918543301662816,0.36624024981607767,-0.03365504860123204,-0.006627153727926589,-0.33502526938622873,0.7048133933263674,0.039079365063034645,-0.10885313513882067,-0.16008444657799564
TOP500上榜数,0.24723534777113332,-0.11286599969996812,-0.06658662295876598,-0.01055859206139359,0.2681098948513265,0.04752104959145322,-0.06883196416123362,-0.15685933155199444,0.1195426205734303,-0.3370636749008367
AI_Book数量,0.13041759603653683,0.3197391729144297,-0.04631064582704696,0.031561730218215685,0.34295019013303024,0.06686553258507592,-0.22921073244320062,0.11273202868216342,-0.00670548262266877,-0.20489470262973836
AI_Dataset数量,0.22132218421871072,-0.13050946940619948,-0.16506030076659123,-0.30610098581763395,-0.1792428596279779,-0.45090287914306665,-0.21082901865963063,0.6905522735310315,0.029843096561400346,-0.012617695334467428
GitHub项目数,0.07199119883979259,0.12485071241197813,-0.39774825983644113,0.29771033243860934,-0.23750052085761314,-0.08749254356925647,0.13721539381759187,-0.08891433010162406,-0.11684679416192403,-0.1921686257880554
国际AI投资,0.22951982486320271,-0.1898098840394399,-0.13710153131724165,0.0957058264420525,0.019549003699648366,0.01360705841343017,-0.027947300353390953,-0.10105987274072412,-0.11742336103979481,-0.14223387737129897
