Indicator_1,Indicator_2,Correlation
AI研究人员数量,顶尖AI学者数量,0.8823427036457958
AI研究人员数量,AI企业数量,0.7210575394952075
AI研究人员数量,AI市场规模,0.9502487610427175
AI研究人员数量,AI政策数量,0.9358991034301386
AI研究人员数量,企业研发支出,0.9627204768475273
AI研究人员数量,政府AI投资,0.7910621291120972
AI研究人员数量,GPU集群规模,0.7126442344618326
AI研究人员数量,互联网带宽,0.8268635210950556
AI研究人员数量,电能生产,0.821346339104829
AI研究人员数量,AI算力平台,0.8005661085180261
AI研究人员数量,数据中心数量,0.9486372045911858
AI研究人员数量,AI_Book数量,0.9136957330501907
AI研究人员数量,国际AI投资,0.9496204791807259
顶尖AI学者数量,AI企业数量,0.7016703924083675
顶尖AI学者数量,AI市场规模,0.9739327279062311
顶尖AI学者数量,AI政策数量,0.9846718147450059
顶尖AI学者数量,企业研发支出,0.9025605487087762
顶尖AI学者数量,GPU集群规模,0.9187035707893282
顶尖AI学者数量,互联网带宽,0.8197164668333712
顶尖AI学者数量,数据中心数量,0.9614347983518761
顶尖AI学者数量,AI_Book数量,0.7811901977258704
顶尖AI学者数量,国际AI投资,0.9364527243120425
AI毕业生数量,大模型数量,0.7411620936382153
AI毕业生数量,AI社会信任度,0.7247455461789228
AI毕业生数量,互联网普及率,-0.8302840801594242
AI毕业生数量,电能生产,0.7977022569106973
AI企业数量,AI市场规模,0.7564622709975999
AI企业数量,AI政策数量,0.7508552603674824
AI企业数量,企业研发支出,0.7975065626552552
AI企业数量,数据中心数量,0.7273970098825222
AI企业数量,国际AI投资,0.7962022447791993
AI市场规模,AI政策数量,0.9975824315868032
AI市场规模,企业研发支出,0.9737109307561689
AI市场规模,GPU集群规模,0.8500781339941923
AI市场规模,互联网带宽,0.8862891153845759
AI市场规模,AI算力平台,0.7011993565888347
AI市场规模,数据中心数量,0.993943861890911
AI市场规模,AI_Book数量,0.8662932226986013
AI市场规模,国际AI投资,0.9858169198298976
AI应用渗透率,AI社会信任度,0.8495045518932257
大模型数量,政府AI投资,0.9548151433046399
大模型数量,电能生产,0.9717403130026542
大模型数量,AI算力平台,0.9729726644348103
大模型数量,TOP500上榜数,0.8570276699009526
大模型数量,AI_Book数量,0.7193256879646076
AI政策数量,企业研发支出,0.9594120642406887
AI政策数量,GPU集群规模,0.867551727992665
AI政策数量,互联网带宽,0.8720113652565704
AI政策数量,数据中心数量,0.9902373840950639
AI政策数量,AI_Book数量,0.84890576362847
AI政策数量,国际AI投资,0.9808800314546847
企业研发支出,政府AI投资,0.8050679676995817
企业研发支出,GPU集群规模,0.7416359866996695
企业研发支出,互联网带宽,0.9126903673769253
企业研发支出,电能生产,0.7962776828630238
企业研发支出,AI算力平台,0.8255131102486152
企业研发支出,数据中心数量,0.9721769765109427
企业研发支出,AI_Book数量,0.9035107448495477
企业研发支出,国际AI投资,0.9759875061366251
政府AI投资,电能生产,0.9492256860186767
政府AI投资,AI算力平台,0.9869248074094276
政府AI投资,TOP500上榜数,0.7084760161131655
政府AI投资,AI_Book数量,0.7544546512718733
政府AI投资,国际AI投资,0.7409602888517896
5G覆盖率,互联网普及率,0.8162577334058716
5G覆盖率,GitHub项目数,-0.8199179467460079
GPU集群规模,数据中心数量,0.806426980619134
GPU集群规模,国际AI投资,0.7911348278308001
互联网带宽,AI算力平台,0.7172981592923175
互联网带宽,数据中心数量,0.9144650396515425
互联网带宽,AI_Book数量,0.8676763810967804
互联网带宽,AI_Dataset数量,0.8120183989760184
互联网带宽,国际AI投资,0.8942574653066888
互联网普及率,GitHub项目数,-0.8096738877910991
电能生产,AI算力平台,0.9688275176760034
电能生产,TOP500上榜数,0.7601028876931324
电能生产,AI_Book数量,0.8067742520460962
电能生产,国际AI投资,0.7176572833507286
AI算力平台,数据中心数量,0.7165652081076971
AI算力平台,TOP500上榜数,0.7728288270064941
AI算力平台,AI_Book数量,0.8066338896141718
AI算力平台,国际AI投资,0.7524956262311687
数据中心数量,AI_Book数量,0.8973093649478813
数据中心数量,AI_Dataset数量,0.7203399408606377
数据中心数量,国际AI投资,0.9829460694690182
AI_Book数量,国际AI投资,0.8642423628307754
