国家,AI研究人员数量,顶尖AI学者数量,AI毕业生数量,AI企业数量,AI市场规模,AI应用渗透率,大模型数量,AI社会信任度,AI政策数量,AI补贴金额,企业研发支出,政府AI投资,5G覆盖率,GPU集群规模,互联网带宽,互联网普及率,电能生产,AI算力平台,数据中心数量,TOP500上榜数,AI_Book数量,AI_Dataset数量,GitHub项目数,国际AI投资
美国,300.0,980,12.5,6100,371.1,7.0,200.0,40.0,150.0,30.0,700.0,40.0,99.0,39.7,39.7,94,4300.0,95,298,171,2.0,10.0,33000.0,27214.42
中国,240.0,330,65.0,5200,115.0,66.0,1509.0,85.0,70.0,55.0,550.0,80.0,98.0,3.8,0.4,80,8800.0,95,252,80,6.0,5.0,5600.0,2813.466
英国,38.0,58,4.0,4100,28.0,38.0,20.0,48.0,30.0,4.5,65.0,5.0,95.0,0.12,0.12,98,330.0,74,163,9,0.5,8.0,9700.0,780.0
德国,32.0,44,3.7,820,22.0,45.0,15.0,50.0,20.0,4.5,95.0,4.5,99.0,0.05,0.05,97,610.0,65,102,40,3.0,1.0,6400.0,680.0
韩国,26.0,16,2.0,2850,13.0,36.0,15.0,62.0,20.0,4.0,75.0,4.0,100.0,5.1,5.1,99,615.0,95,234,15,1.5,0.0,3300.0,660.0
日本,27.0,22,2.3,2700,16.0,42.0,15.0,38.0,20.0,4.0,125.0,4.0,100.0,1.4,1.4,99,1025.0,75,219,43,2.0,1.0,3000.0,780.0
法国,25.0,26,2.4,700,11.0,40.0,20.0,42.0,20.0,3.0,70.0,10.9,99.0,2.4,2.4,95,555.0,65,308,23,1.0,5.0,4600.0,750.0
加拿大,30.0,39,2.1,2400,8.0,40.0,10.0,42.0,20.0,3.2,50.0,2.4,96.0,0.5,0.5,97,720.0,75,245,19,0.0,0.0,7350.0,690.0
阿联酋,15.0,12,0.7,650,8.0,80.0,10.0,75.0,18.0,16.0,35.0,25.0,100.0,23.1,23.1,99,185.0,99,318,5,0.3,0.3,950.0,420.0
印度,100.0,12,53.5,5000,11.0,65.0,15.0,65.0,18.0,2.0,45.0,1.25,100.0,1.2,1.2,60,1920.0,60,55,6,4.0,1.0,65000.0,850.0
