Country,ind01_delta-0.30,ind01_delta-0.15,ind01_delta+0.00,ind01_delta+0.15,ind01_delta+0.30,ind02_delta-0.30,ind02_delta-0.15,ind02_delta+0.00,ind02_delta+0.15,ind02_delta+0.30,ind03_delta-0.30,ind03_delta-0.15,ind03_delta+0.00,ind03_delta+0.15,ind03_delta+0.30,ind04_delta-0.30,ind04_delta-0.15,ind04_delta+0.00,ind04_delta+0.15,ind04_delta+0.30,ind05_delta-0.30,ind05_delta-0.15,ind05_delta+0.00,ind05_delta+0.15,ind05_delta+0.30,ind06_delta-0.30,ind06_delta-0.15,ind06_delta+0.00,ind06_delta+0.15,ind06_delta+0.30,ind07_delta-0.30,ind07_delta-0.15,ind07_delta+0.00,ind07_delta+0.15,ind07_delta+0.30,ind08_delta-0.30,ind08_delta-0.15,ind08_delta+0.00,ind08_delta+0.15,ind08_delta+0.30,ind09_delta-0.30,ind09_delta-0.15,ind09_delta+0.00,ind09_delta+0.15,ind09_delta+0.30,ind10_delta-0.30,ind10_delta-0.15,ind10_delta+0.00,ind10_delta+0.15,ind10_delta+0.30,ind11_delta-0.30,ind11_delta-0.15,ind11_delta+0.00,ind11_delta+0.15,ind11_delta+0.30,ind12_delta-0.30,ind12_delta-0.15,ind12_delta+0.00,ind12_delta+0.15,ind12_delta+0.30,ind13_delta-0.30,ind13_delta-0.15,ind13_delta+0.00,ind13_delta+0.15,ind13_delta+0.30,ind14_delta-0.30,ind14_delta-0.15,ind14_delta+0.00,ind14_delta+0.15,ind14_delta+0.30,ind15_delta-0.30,ind15_delta-0.15,ind15_delta+0.00,ind15_delta+0.15,ind15_delta+0.30,ind16_delta-0.30,ind16_delta-0.15,ind16_delta+0.00,ind16_delta+0.15,ind16_delta+0.30,ind17_delta-0.30,ind17_delta-0.15,ind17_delta+0.00,ind17_delta+0.15,ind17_delta+0.30,ind18_delta-0.30,ind18_delta-0.15,ind18_delta+0.00,ind18_delta+0.15,ind18_delta+0.30,ind19_delta-0.30,ind19_delta-0.15,ind19_delta+0.00,ind19_delta+0.15,ind19_delta+0.30,ind20_delta-0.30,ind20_delta-0.15,ind20_delta+0.00,ind20_delta+0.15,ind20_delta+0.30,ind21_delta-0.30,ind21_delta-0.15,ind21_delta+0.00,ind21_delta+0.15,ind21_delta+0.30,ind22_delta-0.30,ind22_delta-0.15,ind22_delta+0.00,ind22_delta+0.15,ind22_delta+0.30,ind23_delta-0.30,ind23_delta-0.15,ind23_delta+0.00,ind23_delta+0.15,ind23_delta+0.30,ind24_delta-0.30,ind24_delta-0.15,ind24_delta+0.00,ind24_delta+0.15,ind24_delta+0.30
美国,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
中国,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
英国,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
德国,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9
韩国,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6
日本,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
法国,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,7,7,6,6,7,7,7,7,7,7,7,7,7,7
加拿大,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
阿联酋,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
印度,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
