Country,D_plus,D_minus,TOPSIS_Score,TOPSIS_Rank
美国,0.09712241796575112,0.1514361111932617,0.6092573515985553,1
中国,0.09916366196871867,0.1438445042638902,0.5919328000097307,2
印度,0.18535781250582997,0.055739118726989896,0.2311896648445233,3
阿联酋,0.1868151710803761,0.03957599225611488,0.17481244264431492,4
法国,0.1879321633929242,0.039598695482318,0.17403659300497953,5
韩国,0.19054897615604163,0.022464418669383708,0.10546012229742131,6
德国,0.1887967151111505,0.02125298368770016,0.10118073869723287,7
英国,0.1871238356773577,0.018545929138008573,0.0901733376053959,8
日本,0.19080009556313512,0.015455565916122212,0.07493402026010136,9
加拿大,0.19272006000363948,0.014535854465588527,0.07013481136470331,10
