Country,D_plus,D_minus,TOPSIS_Score,TOPSIS_Rank
美国,0.09781340874988827,0.17444126161269385,0.6407282614463015,1
中国,0.13204336616927198,0.13765127685080866,0.5103967780333301,2
印度,0.20056324186698107,0.05325189873549967,0.2098058398284905,3
阿联酋,0.19975183816954997,0.04492602985066914,0.18361296922357126,4
英国,0.2040226644445386,0.022545595570751937,0.09950906437261282,5
韩国,0.2063432114181338,0.016492489210138263,0.07401188033858423,6
法国,0.20646121500230175,0.015250519353542269,0.06878535048125431,7
日本,0.20640841605579502,0.014104134666287044,0.06396068894962312,8
德国,0.20633173954688985,0.013753466521197561,0.06249155391607822,9
加拿大,0.20908001311691599,0.009019679757769915,0.04135576551641923,10
