Indicator,Entropy,Redundancy,Weight
大模型数量,0.3324855234233574,0.6675144765766425,0.0843436991318223
顶尖AI学者数量,0.40130973708990314,0.5986902629100969,0.07564742515699281
AI市场规模,0.4763415604862303,0.5236584395137698,0.06616678951548967
政府AI投资,0.5233084420553283,0.47669155794467166,0.06023229570714586
AI政策数量,0.5253487480236175,0.47465125197638247,0.059974493129426806
GPU集群规模,0.5404460327171777,0.4595539672828223,0.05806687781532672
AI毕业生数量,0.5755810548491802,0.4244189451508198,0.053627396965578764
AI补贴金额,0.5923703719023247,0.40762962809767533,0.05150598513729671
国际AI投资,0.6179747521535983,0.3820252478464017,0.048270747220891405
电能生产,0.6202732501019662,0.3797267498980338,0.04798032083132981
企业研发支出,0.6255498176334977,0.3744501823665023,0.047313600872519845
AI算力平台,0.6337821308515049,0.3662178691484951,0.04627340807733212
GitHub项目数,0.6556454345440085,0.3443545654559915,0.043510873370781154
AI研究人员数量,0.669318889221797,0.33068111077820295,0.0417831659008989
数据中心数量,0.6892908987728824,0.3107091012271176,0.03925960540334434
TOP500上榜数,0.7364247989467557,0.2635752010532443,0.03330400798235258
AI应用渗透率,0.7699703381901902,0.23002966180980977,0.029065366022595594
AI_Dataset数量,0.8244382039627317,0.1755617960372683,0.022183086395294892
AI_Book数量,0.8320777642705357,0.1679222357294643,0.02121779081188615
AI企业数量,0.8344493415602204,0.16555065843977956,0.020918130492285476
AI社会信任度,0.8540606594258211,0.1459393405741789,0.018440145142637653
互联网带宽,0.8567549244808643,0.14324507551913568,0.018099711655188252
互联网普及率,0.9481247607026407,0.051875239297359266,0.0065546886685166695
5G覆盖率,0.9504539158491156,0.04954608415088435,0.0062603885929391175
