年份,美国,中国,英国,德国,韩国,日本,法国,加拿大,阿联酋,印度
2016,4089,5632,335,648,574,1016,519,757,130,1455
2017,4058,6046,336,655,579,1047,537,758,134,1490
2018,4179,6477,335,646,604,1084,549,762,136,1567
2019,4124,6807,323,612,585,1068,537,755,138,1603
2020,4005,6939,312,571,563,1029,497,756,137,1588
2021,4120,7418,329,585,576,1034,536,755,143,1667
2022,4187,7609,338,586,594,1040,445,758,148,1736
2023,4194,8258,329,567,601,1007,517,725,167,1820
2024,4245,8500,324,592,607,1010,541,709,177,1865
2025,4300,8800,330,610,615,1025,555,720,185,1920
