年份,美国,中国,英国,德国,韩国,日本,法国,加拿大,阿联酋,印度
2016,24.1,15.6,16.2,16.2,4.7,8.1,16.2,3.0,0.0,15.5
2017,34.5,19.2,12.0,11.0,2.2,1.7,9.3,7.6,0.0,12.5
2018,56.0,32.5,21.1,16.6,3.0,14.7,15.1,5.8,0.0,30.8
2019,35.1,22.8,15.3,16.1,2.7,12.0,11.4,6.0,0.0,27.4
2020,47.0,18.9,9.2,22.5,2.5,9.2,6.5,13.9,1.7,22.5
2021,37.6,12.7,10.1,23.0,2.3,2.9,2.3,5.7,0.3,18.9
2022,34.4,11.0,17.6,11.4,2.2,7.0,11.9,7.5,0.0,12.8
2023,31.0,29.3,12.7,13.6,2.0,9.9,7.4,13.3,2.0,10.6
2024,15.8,9.5,1.0,7.4,1.8,0.3,8.0,0.0,0.5,5.8
2025,2.0,6.0,0.5,3.0,1.5,2.0,1.0,0.0,0.3,4.0
