年份,美国,中国,英国,德国,韩国,日本,法国,加拿大,阿联酋,印度
2016,45.0,2.0,1.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0
2017,46.0,15.0,21.2,54.8,0.0,18.0,42.0,2.0,0.0,12.0
2018,57.0,3.4,39.1,78.1,2.7,4.0,58.8,12.3,0.0,7.6
2019,147.7,36.3,39.9,70.3,10.3,6.0,85.0,35.0,0.0,3.6
2020,125.9,6.9,76.8,171.3,11.3,14.8,74.4,12.0,0.0,13.1
2021,108.5,26.2,33.5,147.2,4.0,28.0,59.5,11.8,0.0,5.1
2022,122.4,37.6,34.0,170.2,0.0,13.3,96.4,25.4,0.0,8.0
2023,188.0,79.9,79.5,160.7,8.5,35.9,100.9,31.3,1.3,22.0
2024,27.3,7.0,21.7,1.0,0.0,0.0,10.3,0.0,0.5,1.0
2025,10.0,5.0,8.0,1.0,0.0,1.0,5.0,0.0,0.3,1.0
