年份,美国,中国,英国,德国,韩国,日本,法国,加拿大,阿联酋,印度
2016,15011.70,2779.60,2673.35,2024.56,653.29,1380.93,1171.40,2127.65,81.52,3570.08
2017,28151.86,6599.98,4939.20,3875.26,1696.80,2590.18,2193.42,4330.49,199.13,10406.60
2018,34637.48,7819.02,6000.90,5009.94,2243.35,3235.31,3039.80,5654.01,309.66,21709.21
2019,35349.50,7264.33,7013.76,5920.87,3302.57,3299.64,3719.17,6834.04,436.08,30875.84
2020,43785.55,5762.31,8881.75,8000.78,4124.61,3825.55,5025.34,9439.30,586.52,57303.05
2021,34987.02,5319.72,8497.70,7220.41,4679.07,3220.05,4888.39,7994.26,638.09,56231.87
2022,32494.68,5518.97,9037.78,7174.05,4084.50,2721.37,4951.47,7294.80,653.01,52338.25
2023,34313.71,5883.07,9481.53,6712.97,3613.16,3133.73,4823.62,7472.33,825.71,70919.35
2024,33500.00,5700.00,9600.00,6500.00,3400.00,3050.00,4700.00,7400.00,900.00,68000.00
2025,33000.00,5600.00,9700.00,6400.00,3300.00,3000.00,4600.00,7350.00,950.00,65000.00
