年份,美国,中国,英国,德国,韩国,日本,法国,加拿大,阿联酋,印度
2016,1045.203,1105.817,120,95,80,110,90,85,60,70
2017,1973.519,1993.345,160,130,110,150,120,115,45,110
2018,3904.755,3807.741,220,180,150,210,160,150,70,160
2019,1966.652,2190.034,260,210,190,260,200,180,90,220
2020,2481.838,4551.189,320,260,240,310,250,230,140,300
2021,5473.457,7223.848,420,340,330,420,350,320,220,420
2022,4503.865,5901.307,500,410,390,500,430,390,260,520
2023,5171.173,3185.009,560,470,450,560,500,450,300,620
2024,8664.232,3056.784,650,560,540,650,620,560,350,720
2025,27214.420,2813.466,780,680,660,780,750,690,420,850
