年份,美国,中国,英国,德国,韩国,日本,法国,加拿大,阿联酋,印度
2016,6.5,35.0,2.2,2.0,1.1,1.8,1.5,1.2,0.05,28.0
2017,7.2,38.5,2.4,2.2,1.2,1.9,1.6,1.3,0.08,30.5
2018,8.0,42.0,2.6,2.4,1.3,1.9,1.7,1.4,0.10,33.0
2019,8.8,45.0,2.8,2.6,1.4,2.0,1.8,1.5,0.15,36.0
2020,9.5,48.0,3.0,2.8,1.5,2.0,1.9,1.6,0.20,38.5
2021,10.5,52.0,3.2,2.9,1.6,2.1,2.0,1.7,0.30,41.0
2022,11.0,55.0,3.4,3.1,1.7,2.1,2.1,1.8,0.40,44.0
2023,11.5,58.0,3.6,3.3,1.8,2.2,2.2,1.9,0.50,47.0
2024,12.0,61.5,3.8,3.5,1.9,2.2,2.3,2.0,0.60,50.0
2025,12.5,65.0,4.0,3.7,2.0,2.3,2.4,2.1,0.70,53.5
