year,country,value,indicator
2016,中国,0.0,5G覆盖率
2017,中国,0.0,5G覆盖率
2018,中国,0.0,5G覆盖率
2019,中国,5.0,5G覆盖率
2020,中国,46.0,5G覆盖率
2021,中国,85.0,5G覆盖率
2022,中国,90.0,5G覆盖率
2023,中国,95.0,5G覆盖率
2024,中国,95.0,5G覆盖率
2025,中国,98.0,5G覆盖率
2016,加拿大,0.0,5G覆盖率
2017,加拿大,0.0,5G覆盖率
2018,加拿大,0.0,5G覆盖率
2019,加拿大,10.0,5G覆盖率
2020,加拿大,40.0,5G覆盖率
2021,加拿大,88.0,5G覆盖率
2022,加拿大,91.0,5G覆盖率
2023,加拿大,96.0,5G覆盖率
2024,加拿大,96.0,5G覆盖率
2025,加拿大,96.0,5G覆盖率
2016,印度,0.0,5G覆盖率
2017,印度,0.0,5G覆盖率
2018,印度,0.0,5G覆盖率
2019,印度,0.0,5G覆盖率
2020,印度,0.0,5G覆盖率
2021,印度,0.0,5G覆盖率
2022,印度,5.0,5G覆盖率
2023,印度,60.0,5G覆盖率
2024,印度,90.0,5G覆盖率
2025,印度,100.0,5G覆盖率
2016,德国,0.0,5G覆盖率
2017,德国,0.0,5G覆盖率
2018,德国,0.0,5G覆盖率
2019,德国,10.0,5G覆盖率
2020,德国,45.0,5G覆盖率
2021,德国,91.0,5G覆盖率
2022,德国,95.0,5G覆盖率
2023,德国,96.0,5G覆盖率
2024,德国,96.0,5G覆盖率
2025,德国,99.0,5G覆盖率
2016,日本,0.0,5G覆盖率
2017,日本,0.0,5G覆盖率
2018,日本,0.0,5G覆盖率
2019,日本,10.0,5G覆盖率
2020,日本,25.0,5G覆盖率
2021,日本,70.0,5G覆盖率
2022,日本,90.0,5G覆盖率
2023,日本,99.7,5G覆盖率
2024,日本,99.9,5G覆盖率
2025,日本,100.0,5G覆盖率
2016,法国,0.0,5G覆盖率
2017,法国,0.0,5G覆盖率
2018,法国,0.0,5G覆盖率
2019,法国,10.0,5G覆盖率
2020,法国,30.0,5G覆盖率
2021,法国,60.0,5G覆盖率
2022,法国,80.0,5G覆盖率
2023,法国,93.0,5G覆盖率
2024,法国,99.0,5G覆盖率
2025,法国,99.0,5G覆盖率
2016,美国,0.0,5G覆盖率
2017,美国,0.0,5G覆盖率
2018,美国,0.0,5G覆盖率
2019,美国,5.0,5G覆盖率
2020,美国,35.0,5G覆盖率
2021,美国,74.0,5G覆盖率
2022,美国,94.0,5G覆盖率
2023,美国,97.0,5G覆盖率
2024,美国,97.4,5G覆盖率
2025,美国,99.0,5G覆盖率
2016,英国,0.0,5G覆盖率
2017,英国,0.0,5G覆盖率
2018,英国,0.0,5G覆盖率
2019,英国,10.0,5G覆盖率
2020,英国,30.0,5G覆盖率
2021,英国,46.0,5G覆盖率
2022,英国,67.0,5G覆盖率
2023,英国,85.0,5G覆盖率
2024,英国,85.0,5G覆盖率
2025,英国,95.0,5G覆盖率
2016,阿联酋,0.0,5G覆盖率
2017,阿联酋,0.0,5G覆盖率
2018,阿联酋,0.0,5G覆盖率
2019,阿联酋,10.0,5G覆盖率
2020,阿联酋,15.0,5G覆盖率
2021,阿联酋,30.0,5G覆盖率
2022,阿联酋,50.0,5G覆盖率
2023,阿联酋,90.0,5G覆盖率
2024,阿联酋,100.0,5G覆盖率
2025,阿联酋,100.0,5G覆盖率
2016,韩国,0.0,5G覆盖率
2017,韩国,0.0,5G覆盖率
2018,韩国,0.0,5G覆盖率
2019,韩国,20.0,5G覆盖率
2020,韩国,85.0,5G覆盖率
2021,韩国,95.0,5G覆盖率
2022,韩国,99.0,5G覆盖率
2023,韩国,99.9,5G覆盖率
2024,韩国,100.0,5G覆盖率
2025,韩国,100.0,5G覆盖率
2016,中国,15.6,AI_Book数量
2017,中国,19.2,AI_Book数量
2018,中国,32.5,AI_Book数量
2019,中国,22.8,AI_Book数量
2020,中国,18.9,AI_Book数量
2021,中国,12.7,AI_Book数量
2022,中国,11.0,AI_Book数量
2023,中国,29.3,AI_Book数量
2024,中国,9.5,AI_Book数量
2025,中国,6.0,AI_Book数量
2016,加拿大,3.0,AI_Book数量
2017,加拿大,7.6,AI_Book数量
2018,加拿大,5.8,AI_Book数量
2019,加拿大,6.0,AI_Book数量
2020,加拿大,13.9,AI_Book数量
2021,加拿大,5.7,AI_Book数量
2022,加拿大,7.5,AI_Book数量
2023,加拿大,13.3,AI_Book数量
2024,加拿大,0.0,AI_Book数量
2025,加拿大,0.0,AI_Book数量
2016,印度,15.5,AI_Book数量
2017,印度,12.5,AI_Book数量
2018,印度,30.8,AI_Book数量
2019,印度,27.4,AI_Book数量
2020,印度,22.5,AI_Book数量
2021,印度,18.9,AI_Book数量
2022,印度,12.8,AI_Book数量
2023,印度,10.6,AI_Book数量
2024,印度,5.8,AI_Book数量
2025,印度,4.0,AI_Book数量
2016,德国,16.2,AI_Book数量
2017,德国,11.0,AI_Book数量
2018,德国,16.6,AI_Book数量
2019,德国,16.1,AI_Book数量
2020,德国,22.5,AI_Book数量
2021,德国,23.0,AI_Book数量
2022,德国,11.4,AI_Book数量
2023,德国,13.6,AI_Book数量
2024,德国,7.4,AI_Book数量
2025,德国,3.0,AI_Book数量
2016,日本,8.1,AI_Book数量
2017,日本,1.7,AI_Book数量
2018,日本,14.7,AI_Book数量
2019,日本,12.0,AI_Book数量
2020,日本,9.2,AI_Book数量
2021,日本,2.9,AI_Book数量
2022,日本,7.0,AI_Book数量
2023,日本,9.9,AI_Book数量
2024,日本,0.3,AI_Book数量
2025,日本,2.0,AI_Book数量
2016,法国,16.2,AI_Book数量
2017,法国,9.3,AI_Book数量
2018,法国,15.1,AI_Book数量
2019,法国,11.4,AI_Book数量
2020,法国,6.5,AI_Book数量
2021,法国,2.3,AI_Book数量
2022,法国,11.9,AI_Book数量
2023,法国,7.4,AI_Book数量
2024,法国,8.0,AI_Book数量
2025,法国,1.0,AI_Book数量
2016,美国,24.1,AI_Book数量
2017,美国,34.5,AI_Book数量
2018,美国,56.0,AI_Book数量
2019,美国,35.1,AI_Book数量
2020,美国,47.0,AI_Book数量
2021,美国,37.6,AI_Book数量
2022,美国,34.4,AI_Book数量
2023,美国,31.0,AI_Book数量
2024,美国,15.8,AI_Book数量
2025,美国,2.0,AI_Book数量
2016,英国,16.2,AI_Book数量
2017,英国,12.0,AI_Book数量
2018,英国,21.1,AI_Book数量
2019,英国,15.3,AI_Book数量
2020,英国,9.2,AI_Book数量
2021,英国,10.1,AI_Book数量
2022,英国,17.6,AI_Book数量
2023,英国,12.7,AI_Book数量
2024,英国,1.0,AI_Book数量
2025,英国,0.5,AI_Book数量
2016,阿联酋,0.0,AI_Book数量
2017,阿联酋,0.0,AI_Book数量
2018,阿联酋,0.0,AI_Book数量
2019,阿联酋,0.0,AI_Book数量
2020,阿联酋,1.7,AI_Book数量
2021,阿联酋,0.3,AI_Book数量
2022,阿联酋,0.0,AI_Book数量
2023,阿联酋,2.0,AI_Book数量
2024,阿联酋,0.5,AI_Book数量
2025,阿联酋,0.3,AI_Book数量
2016,韩国,4.7,AI_Book数量
2017,韩国,2.2,AI_Book数量
2018,韩国,3.0,AI_Book数量
2019,韩国,2.7,AI_Book数量
2020,韩国,2.5,AI_Book数量
2021,韩国,2.3,AI_Book数量
2022,韩国,2.2,AI_Book数量
2023,韩国,2.0,AI_Book数量
2024,韩国,1.8,AI_Book数量
2025,韩国,1.5,AI_Book数量
2016,中国,2.0,AI_Dataset数量
2017,中国,15.0,AI_Dataset数量
2018,中国,3.4,AI_Dataset数量
2019,中国,36.3,AI_Dataset数量
2020,中国,6.9,AI_Dataset数量
2021,中国,26.2,AI_Dataset数量
2022,中国,37.6,AI_Dataset数量
2023,中国,79.9,AI_Dataset数量
2024,中国,7.0,AI_Dataset数量
2025,中国,5.0,AI_Dataset数量
2016,加拿大,0.0,AI_Dataset数量
2017,加拿大,2.0,AI_Dataset数量
2018,加拿大,12.3,AI_Dataset数量
2019,加拿大,35.0,AI_Dataset数量
2020,加拿大,12.0,AI_Dataset数量
2021,加拿大,11.8,AI_Dataset数量
2022,加拿大,25.4,AI_Dataset数量
2023,加拿大,31.3,AI_Dataset数量
2024,加拿大,0.0,AI_Dataset数量
2025,加拿大,0.0,AI_Dataset数量
2016,印度,0.0,AI_Dataset数量
2017,印度,12.0,AI_Dataset数量
2018,印度,7.6,AI_Dataset数量
2019,印度,3.6,AI_Dataset数量
2020,印度,13.1,AI_Dataset数量
2021,印度,5.1,AI_Dataset数量
2022,印度,8.0,AI_Dataset数量
2023,印度,22.0,AI_Dataset数量
2024,印度,1.0,AI_Dataset数量
2025,印度,1.0,AI_Dataset数量
2016,德国,6.0,AI_Dataset数量
2017,德国,54.8,AI_Dataset数量
2018,德国,78.1,AI_Dataset数量
2019,德国,70.3,AI_Dataset数量
2020,德国,171.3,AI_Dataset数量
2021,德国,147.2,AI_Dataset数量
2022,德国,170.2,AI_Dataset数量
2023,德国,160.7,AI_Dataset数量
2024,德国,1.0,AI_Dataset数量
2025,德国,1.0,AI_Dataset数量
2016,日本,2.0,AI_Dataset数量
2017,日本,18.0,AI_Dataset数量
2018,日本,4.0,AI_Dataset数量
2019,日本,6.0,AI_Dataset数量
2020,日本,14.8,AI_Dataset数量
2021,日本,28.0,AI_Dataset数量
2022,日本,13.3,AI_Dataset数量
2023,日本,35.9,AI_Dataset数量
2024,日本,0.0,AI_Dataset数量
2025,日本,1.0,AI_Dataset数量
2016,法国,2.0,AI_Dataset数量
2017,法国,42.0,AI_Dataset数量
2018,法国,58.8,AI_Dataset数量
2019,法国,85.0,AI_Dataset数量
2020,法国,74.4,AI_Dataset数量
2021,法国,59.5,AI_Dataset数量
2022,法国,96.4,AI_Dataset数量
2023,法国,100.9,AI_Dataset数量
2024,法国,10.3,AI_Dataset数量
2025,法国,5.0,AI_Dataset数量
2016,美国,45.0,AI_Dataset数量
2017,美国,46.0,AI_Dataset数量
2018,美国,57.0,AI_Dataset数量
2019,美国,147.7,AI_Dataset数量
2020,美国,125.9,AI_Dataset数量
2021,美国,108.5,AI_Dataset数量
2022,美国,122.4,AI_Dataset数量
2023,美国,188.0,AI_Dataset数量
2024,美国,27.3,AI_Dataset数量
2025,美国,10.0,AI_Dataset数量
2016,英国,1.0,AI_Dataset数量
2017,英国,21.2,AI_Dataset数量
2018,英国,39.1,AI_Dataset数量
2019,英国,39.9,AI_Dataset数量
2020,英国,76.8,AI_Dataset数量
2021,英国,33.5,AI_Dataset数量
2022,英国,34.0,AI_Dataset数量
2023,英国,79.5,AI_Dataset数量
2024,英国,21.7,AI_Dataset数量
2025,英国,8.0,AI_Dataset数量
2016,阿联酋,0.0,AI_Dataset数量
2017,阿联酋,0.0,AI_Dataset数量
2018,阿联酋,0.0,AI_Dataset数量
2019,阿联酋,0.0,AI_Dataset数量
2020,阿联酋,0.0,AI_Dataset数量
2021,阿联酋,0.0,AI_Dataset数量
2022,阿联酋,0.0,AI_Dataset数量
2023,阿联酋,1.3,AI_Dataset数量
2024,阿联酋,0.5,AI_Dataset数量
2025,阿联酋,0.3,AI_Dataset数量
2016,韩国,0.0,AI_Dataset数量
2017,韩国,0.0,AI_Dataset数量
2018,韩国,2.7,AI_Dataset数量
2019,韩国,10.3,AI_Dataset数量
