,weight
AI研究人员数量,0.043054203705528135
顶尖AI学者数量,0.06992792433388739
AI毕业生数量,0.05263257868944069
AI企业数量,0.02065411118714091
AI市场规模,0.06981694364849148
AI应用渗透率,0.008427331222209223
大模型数量,0.09458320745850719
AI社会信任度,0.02347260184747835
AI政策数量,0.06689007021786832
AI补贴金额,0.04791658905015192
企业研发支出,0.04836002121220847
政府AI投资,0.04332042052351506
5G覆盖率,0.00872389317820766
GPU集群规模,0.05211852457516903
互联网带宽,0.05804186998895655
互联网普及率,0.006282735546877263
电能生产,0.04293139153896861
AI算力平台,0.015661726509417603
数据中心数量,0.009583519422055764
TOP500上榜数,0.03736247151013854
AI_Book数量,0.02032601913389237
AI_Dataset数量,0.03287582837558599
GitHub项目数,0.04109381680371659
国际AI投资,0.08594220032058683
