指标,2026基准值,2035投资后,增长量,增长率_%
GitHub项目数,5094.573885836115,99000.0,93905.43192581323,1843.2440869776326
GPU集群规模,1.6066666666667402,31.201964359118254,29.595297692451513,1842.0298302169208
互联网带宽,1.6066666666667402,31.071403209470706,29.464736542803966,1833.9036226410617
AI毕业生数量,70.00031897156146,97.5,846.4181512381816,1209.1632603708813
TOP500上榜数,58.19999999999709,244.61267242693282,186.41267242693573,320.29668251542654
AI研究人员数量,279.3417133114267,900.0,785.5889636224778,281.22866130428935
AI政策数量,72.9333333333343,268.28741752096823,195.35408418763396,267.85294539639204
企业研发支出,665.3334741373174,1341.1485839137163,675.815109776399,101.57539565207033
电能生产,9297.971423487994,13200.0,4287.916331083212,46.11668648271128
AI市场规模,128.00000000000364,181.08032167062674,53.08032167062311,41.46900098119655
AI补贴金额,60.53333333333467,82.5,22.6867403862066,37.47809473253054
AI企业数量,5901.133333333419,7256.2007286318785,1355.0673952984598,22.962833044536275
顶尖AI学者数量,396.12717010926303,472.10288957394545,75.9757194646824,19.179628413756593
政府AI投资,102.94503085395604,120.0,18.200570607333034,17.679892151719812
数据中心数量,288.4000000000088,295.1740502507304,6.774050250721568,2.3488384976535976
国际AI投资,4699.711733333359,4795.944305716439,96.2325723830797,2.0476271274269977
大模型数量,829.1999999999825,841.8732935718846,12.673293571902077,1.5283759716134329
AI算力平台,120.00000000000728,120.78947424338344,0.789474243376159,0.657895197330966
AI应用渗透率,82.28666666666504,82.43959577237236,0.152929105707317,0.18584919045065396
AI社会信任度,84.79350887745477,84.93509629364675,0.14158741619198534,0.16697907233302434
互联网普及率,83.9898983204721,84.06997489361807,0.08007657314597083,0.09534071810281668
5G覆盖率,100.0,100.0,0.0,0.0
AI_Book数量,10.686666666667406,9.0,0.0,0.0
AI_Dataset数量,34.48666666666668,30.0,0.0,0.0
