排名,指标,投资额_亿元,占比_%
1,GPU集群规模,1500.0,15.0
2,AI政策数量,1474.2252302120603,14.742252302120603
3,AI市场规模,1121.2250371931746,11.212250371931745
4,企业研发支出,927.6609699250955,9.276609699250955
5,顶尖AI学者数量,820.9222450213216,8.209222450213217
6,AI研究人员数量,816.9035689899603,8.169035689899601
7,TOP500上榜数,731.5443737326885,7.315443737326885
8,GitHub项目数,308.86280940122697,3.08862809401227
9,数据中心数量,281.74297699314934,2.8174297699314934
10,互联网带宽,232.85861451491118,2.328586145149112
11,AI企业数量,218.79923152773023,2.1879923152773024
12,国际AI投资,189.04201567801806,1.8904201567801804
13,AI补贴金额,149.75819026825266,1.4975819026825266
14,政府AI投资,148.10170736354576,1.4810170736354575
15,AI算力平台,145.77315324501816,1.4577315324501816
16,电能生产,138.2110144582482,1.382110144582482
17,AI应用渗透率,122.37573462065183,1.2237573462065183
18,AI社会信任度,115.122935818258,1.1512293581825799
19,AI_Dataset数量,101.49873051183984,1.0149873051183984
20,AI_Book数量,101.4822689350428,1.014822689350428
21,AI毕业生数量,101.4585058980247,1.014585058980247
22,5G覆盖率,101.43792892302311,1.014379289230231
23,互联网普及率,101.07462729595802,1.0107462729595802
24,大模型数量,50.0,0.5
