,PC1,PC2,PC3
AI研究人员数量,0.3110292160562227,0.0025163383697150987,-0.15504273507349414
顶尖AI学者数量,0.2427119005692649,-0.2351227197957127,-0.13634566503623463
AI毕业生数量,0.17360497338618702,0.4786816123807523,-0.23327512405408793
AI市场规模,0.2828051400473847,-0.15543084133517077,-0.07447590635763893
大模型数量,0.22284805370205613,0.2773099829171706,0.20461440875840725
AI政策数量,0.2694890955828287,-0.1757486082874541,-0.08496419696006789
AI补贴金额,-0.004430579490672205,0.03606848117897493,0.4921975627818811
企业研发支出,0.3151213228166398,-0.07275600552324152,0.005155646020196414
政府AI投资,0.25607161409583523,0.1889889937726522,0.21642058503535794
国际AI投资,0.0,-0.0,0.0
5G覆盖率,0.05430176007996894,-0.22577718643097566,0.47888840155801493
GPU集群规模,0.18662327199105475,-0.2916701689760289,-0.09659821524390202
互联网带宽,0.2559524514688366,-0.1258158695159143,0.0496560733486994
互联网普及率,-0.038625177918140755,-0.3463199767483222,0.40401263302132495
电能生产,0.24701077309949324,0.24715173452847936,0.07644554290111039
AI算力平台,0.2538869752217974,0.18204925077030912,0.2003060389288579
数据中心数量,0.27613138956727673,-0.14241775943392568,-0.06261004813046193
TOP500上榜数,0.12667233565920194,0.3049941656516004,0.3103830469746263
AI_Book数量,0.2940955829857627,0.016224253328076754,-0.08835598193419991
AI_Dataset数量,0.1949741138165968,-0.24841326627036797,-0.02847262302073873
GitHub项目数,0.0,-0.0,0.0
